date,categorie,montant
2026-01-03,Alimentation,15000
2026-01-05,Transport,2000
2026-01-07,Alimentation,8000
2026-01-08,Loisirs,5000
2026-01-10,Alimentation,12000
2026-01-12,Transport,1500
2026-01-14,Sante,7000
2026-01-15,Alimentation,9500
2026-01-17,Loisirs,3000
2026-01-18,Transport,2200
2026-01-20,Alimentation,11000
2026-01-21,Loisirs,4500
2026-01-23,Sante,6500
2026-01-25,Alimentation,10000
2026-01-27,Transport,1800
2026-01-28,Divers,150000
2026-01-29,Alimentation,9000
2026-01-30,Loisirs,4000
2026-01-31,Transport,2100
2026-02-01,Alimentation,500
